Language,Run,Energy_J,Energy_Wh,Avg_Power_W,Duration_s
Python,1,1329.850721499999,0.3694029781944442,15.111940017045443,88.0
Python,2,1327.9327864999977,0.3688702184722216,15.004890242937828,88.5
Python,3,1327.8838069999983,0.3688566130555551,15.004336802259868,88.5
Python,4,1335.2222894999977,0.370895080416666,15.002497634831435,89.0
Python,5,1320.4545984999822,0.36679294402777285,15.005165892045254,88.0
C,1,14.947593500008221,0.004152109305557839,14.947593500008221,1.0
C,2,15.029196999996199,0.004174776944443389,15.029196999996199,1.0
C,3,14.997489499997755,0.004165969305554932,14.997489499997755,1.0
C,4,14.995231000000786,0.004165341944444663,14.995231000000786,1.0
C,5,22.16171699999541,0.006156032499998725,14.77447799999694,1.5
C++,1,182.43630050000138,0.050676750138889275,15.203025041666782,12.0
C++,2,191.97344600001088,0.053325957222225245,14.767188153846991,13.0
C++,3,190.9859610000094,0.053051655833335945,15.278876880000754,12.5
C++,4,202.3757325000006,0.056215481250000164,14.990795000000045,13.5
C++,5,194.59499099999084,0.05405416416666412,14.968845461537757,13.0
